,Gene Name
10230,FUBP3
10231,CLPX
10232,DNASE2
10233,GPT2
10234,AL807752.6
10235,VDAC1
10236,TRAF2
10237,COLQ
10238,RACK1
10239,PRIM2
10240,SULT1A2
10241,PCBP1
10242,RAB27B
10243,UMOD
10244,FAM184A
10245,TRAV36DV7
10246,CD3EAP
10247,MDH1
10248,RPL3L
10249,MFSD14A
10250,ACD
10251,LIX1
10252,C1orf50
10253,PTPRN
10254,NDUFV1
10255,DGCR6L
10256,RSL1D1
10257,KRT83
10258,FANCD2
10259,FAM9B
10260,STRADA
10261,CRY1
10262,RAB35
10263,MUC19
10264,JAK1
10265,SAMD12
10266,TAF8
10267,C20orf96
10268,COL15A1
10269,MIF4GD
10270,ZNF429
10271,C1QL4
10272,RAP2A
10273,CT45A1
10274,FAM221A
10275,UQCC2
10276,YWHAG
10277,TTC7B
10278,FFAR4
10279,FGD2
10280,NDUFS6
10281,IWS1
10282,RALGAPA1
10283,SPARC
10284,COL5A1
10285,LARP1
10286,KLC4
10287,RRAGD
10288,LIMS3
10289,BIN3
10290,FOLR3
10291,CACNG6
10292,MMP3
10293,C2CD3
10294,ZSCAN21
10295,ERAS
10296,PDZK1IP1
10297,RBM26
10298,LRP11
10299,PELI3
10300,F2RL3
10301,DSG4
10302,C1orf141
10303,PREB
10304,LRTM1
10305,GLI4
10306,ZNF2
10307,ADGRB2
10308,SAMD15
10309,KCTD11
10310,CHST12
10311,C10orf105
10312,AC124312.1
10313,DGKD
10314,MCUB
10315,CCDC148
10316,SYN3
10317,ARHGAP4
10318,UBE3C
10319,RGS19
10320,SYTL2
10321,IGHV3-49
10322,ZBTB7C
10323,CHRNA1
10324,UBE2Q2
10325,DHDH
10326,GRK5
10327,SESN2
10328,H2AFX
10329,APOBEC3D
10330,LGALS12
10331,EFHB
10332,PRDM16
10333,LMF2
10334,DGKG
10335,MNT
10336,ARID4B
10337,KCNC3
10338,RPS5
10339,MPDZ
10340,EXOC3L4
10341,ROBO4
10342,C1orf21
10343,CASQ2
10344,MECR
10345,KRT12
10346,ZBTB18
10347,SLC22A16
10348,C1orf116
10349,REXO2
10350,FN3KRP
10351,VAT1L
10352,FASTKD5
10353,KMT2E
10354,SAMHD1
10355,PLB1
10356,CNIH1
10357,ZNF532
10358,RSPH4A
10359,DDX41
10360,SLC39A13
10361,TLE6
10362,SMIM21
10363,KRT6B
10364,RBM28
10365,WTAP
10366,RPL23
10367,RAB4B-EGLN2
10368,TMEFF2
10369,NBEA
10370,PIGH
10371,MIER3
10372,CTNNA1
10373,HDX
10374,ZNF784
10375,ASRGL1
10376,TMEM150C
10377,ADAMTS7
10378,SLC2A7
10379,TNFRSF11B
10380,IDI2
10381,CCNL1
10382,TNFRSF19
10383,USP14
10384,POU5F1
10385,TMEM211
10386,CTNND1
10387,KLK13
10388,ABI3
10389,TADA1
10390,SOD1
10391,DGCR8
10392,AC005943.1
10393,TP53
10394,LENG8
10395,ACE2
10396,DSTN
10397,POU3F1
10398,ZNF106
10399,FUT3
10400,SH3GL1
10401,SPINK5
10402,WDR13
10403,ZNF586
10404,BRIP1
10405,XAF1
10406,TRNP1
10407,C12orf4
10408,PLPP4
10409,MTO1
10410,CMTR1
10411,FOXC2
10412,PVALEF
10413,PLCZ1
10414,MAPK7
10415,EGFLAM
10416,MAB21L3
10417,GLYATL3
10418,UCHL3
10419,EFCAB3
10420,CTAGE1
10421,VWA5A
10422,ANO7
10423,TNRC6B
10424,STK26
10425,PAK6
10426,TRIM32
10427,MED14
10428,REG1B
10429,FAM90A26
10430,VEZF1
10431,TMEM106B
10432,PRSS12
10433,BRINP3
10434,TBCA
10435,ARGLU1
10436,SLC30A5
10437,MYDGF
10438,TRPM3
10439,GJA3
10440,AMN1
10441,OR8G5
10442,GFOD1
10443,RFT1
10444,ADAM8
10445,DHRS1
10446,CLDN9
10447,HOXA9
10448,HNRNPU
10449,C12orf42
10450,PRDX2
10451,MIA2
10452,STK24
10453,FAM213B
10454,TSTD1
10455,SGTB
10456,ZNF710
10457,ABCF2
10458,ARID5A
10459,ESRP1
10460,C1orf74
10461,SPINK4
10462,AP4S1
10463,COPS5
10464,NRM
10465,ALDH3B2
10466,DLL4
10467,FANCL
10468,BAK1
10469,FAM219B
10470,RETNLB
10471,SOAT1
10472,PNMA2
10473,MZT2B
10474,EVI5
10475,TRIM6
10476,DERL3
10477,SYNE2
10478,ECT2L
10479,SSUH2
10480,WDR36
10481,OR10R2
10482,GGT6
10483,TMEM136
10484,MBTPS2
10485,ELN
10486,ADCY9
10487,OPN3
10488,PHB
10489,ZMYM2
10490,HDHD2
10491,GDPD5
10492,BOLA2
10493,TMEM267
10494,PCSK4
10495,DDX25
10496,HS3ST5
10497,C3orf80
10498,ZFYVE16
10499,NUDT1
10500,TEAD1
10501,RSRC2
10502,IDH3B
10503,AC087632.1
10504,CCNB1IP1
10505,ZNF823
10506,UNC45B
10507,BAG4
10508,ANKIB1
10509,RPS19BP1
10510,IRX4
10511,RPUSD3
10512,ZMYM1
10513,PLXNB1
10514,PDCD6IP
10515,SP140L
10516,IGKV1-17
10517,DUSP1
10518,MPO
10519,RCE1
10520,SMCO1
10521,BMPR1A
10522,LRRC47
10523,TLL1
10524,CCDC195
10525,LMX1A
10526,AKR1C3
10527,ZCCHC17
10528,VEPH1
10529,KCTD15
10530,SMIM2
10531,CST4
10532,CBX2
10533,PPWD1
10534,FAM173B
10535,HOXC10
10536,ABI3BP
10537,NIP7
10538,TCF23
10539,ZNF526
10540,LSAMP
10541,PIGG
10542,ZNF484
10543,RXRG
10544,LIG1
10545,CELF4
10546,TRMT2B
10547,VNN2
10548,PRKCD
10549,GTPBP2
10550,MAFIP
10551,HOXA3
10552,ACSL4
10553,E2F1
10554,PDZD4
10555,EPHX3
10556,RPS6KL1
10557,MEST
10558,CNIH3
10559,RPL26
10560,C4B
10561,TDRD3
10562,TAF9B
10563,NDUFA1
10564,ACO2
10565,ETS2
10566,GTF2B
10567,RBMXL3
10568,AC004691.2
10569,TMEM110-MUSTN1
10570,AIMP2
10571,SVOP
10572,MAPK8IP1
10573,AIM2
10574,THAP7
10575,EIF2B4
10576,DCX
10577,DENND5B
10578,C21orf62
10579,LRCH1
10580,HIF3A
10581,ATM
10582,FAM3C
10583,NYAP2
10584,SSMEM1
10585,FAM149B1
10586,NXF2B
10587,ATP2A2
10588,KCTD1
10589,SSTR3
10590,FAM98B
10591,ENTPD7
10592,ENOPH1
10593,GIGYF2
10594,ADIRF
10595,IL4
10596,ZNF575
10597,MROH6
10598,NAE1
10599,ASB5
10600,FBLN2
10601,GPM6B
10602,FAM189A1
10603,FH
10604,CHST6
10605,TMEM25
10606,TAF7
10607,CD1D
10608,FOXG1
10609,MAP3K12
10610,AVPI1
10611,RABGGTA
10612,OGFOD1
10613,TBC1D17
10614,VSIR
10615,PARL
10616,SHISAL1
10617,SRSF1
10618,LRWD1
10619,PKN1
10620,TMEM186
10621,C21orf91
10622,SLC35G1
10623,SERPINA11
10624,SLC29A4
10625,S100B
10626,PHAX
10627,OR5AS1
10628,KDM8
10629,CRACR2A
10630,NBR1
10631,MTF1
10632,ITLN2
10633,SMC5
10634,TP53I13
10635,TMEM120A
10636,POTEG
10637,FAM222A
10638,CD34
10639,ORM2
10640,ACCSL
10641,KLK2
10642,CUEDC2
10643,DNM3
10644,MDN1
10645,MRPS16
10646,GNMT
10647,RASL11A
10648,SETD4
10649,ERO1B
10650,PALMD
10651,COL5A2
10652,SURF4
10653,ANKRD7
10654,NPFFR2
10655,NUP214
10656,ALOX5
10657,CBFB
10658,ZNF43
10659,LIME1
10660,KXD1
10661,GRIP1
10662,ROGDI
10663,QRICH1
10664,SEPT4
10665,ZNF618
10666,NFKB1
10667,SCNN1G
10668,MAJIN
10669,DNAJC3
10670,LONP2
10671,PGP
10672,TCF3
10673,HMGCLL1
10674,SEMA6C
10675,KRT5
10676,OLAH
10677,ECM2
10678,SMUG1
10679,DHRSX
10680,SCG5
10681,ADH5
10682,FOCAD
10683,IGHJ3
10684,ARSI
10685,IGSF9B
10686,MRPL2
10687,FAM3D
10688,AC010319.2
10689,RFX1
10690,CD247
10691,TGM7
10692,ACTA1
10693,PDZD3
10694,PLSCR1
10695,RPA1
10696,SIX1
10697,SEC23IP
10698,KIR2DL4
10699,DARS
10700,MRAP
10701,PTCRA
10702,RASAL1
10703,LUC7L3
10704,COL1A2
10705,APLF
10706,ATP5PD
10707,RBM34
10708,AC074143.1
10709,CRYGB
10710,SLC30A2
10711,GNG10
10712,SNCAIP
10713,ZCCHC4
10714,RPRD1B
10715,IGKJ4
10716,CSNK1G2
10717,GTPBP4
10718,MRPS6
10719,SULT6B1
10720,RAB8B
10721,KDM2A
10722,PRKAR2A
10723,IFIT1B
10724,ADCK2
10725,KIAA0753
10726,CCDC33
10727,NIT1
10728,CX3CL1
10729,UBAP2
10730,LRRK1
10731,DGKZ
10732,IGLV6-57
10733,SPINK14
10734,PYGO1
10735,SGO2
10736,ADAM2
10737,SCARA5
10738,OR7D4
10739,RAP1GDS1
10740,FAM92B
10741,SPG21
10742,DOCK3
10743,HOXC6
10744,GPRIN1
10745,KRTAP10-4
10746,SMYD4
10747,CD53
10748,COL13A1
10749,U2AF1L4
10750,SIGLEC5
10751,KCTD13
10752,SLC6A20
10753,SMN2
10754,PCED1B
10755,AGT
10756,PSG3
10757,SNX20
10758,DNAH12
10759,ZNF197
10760,GLRB
10761,AC134669.1
10762,RUNX1
10763,IL1R2
10764,QRICH2
10765,SYT4
10766,ATP10D
10767,CD302
10768,FASTKD3
10769,CAMSAP3
10770,CFAP20
10771,NTF4
10772,ETAA1
10773,TNFRSF10A
10774,TMEM144
10775,LRRC25
10776,DOCK4
10777,ZDHHC6
10778,ARMS2
10779,NYNRIN
10780,VIM
10781,GBF1
10782,SLC36A1
10783,MYO1F
10784,NRSN1
10785,AC120057.2
10786,KRT37
10787,DCLK2
10788,MAP3K7
10789,TRABD2B
10790,PIMREG
10791,COL4A4
10792,CENPV
10793,PPL
10794,FAT1
10795,SORCS2
10796,CSKMT
10797,NLRP1
10798,CEP192
10799,PEF1
10800,TMEM8B
10801,METRN
10802,CREB3L1
10803,SMR3B
10804,C4orf47
10805,EPN3
10806,HIST1H4K
10807,TMEM126A
10808,PLK4
10809,PRKCZ
10810,ZSCAN12
10811,TANC1
10812,HSD17B12
10813,TTC19
10814,MECP2
10815,NDUFV3
10816,TTBK1
10817,PIDD1
10818,USP33
10819,PHF24
10820,RNF166
10821,GLB1L
10822,RNF168
10823,GRIPAP1
10824,KPNA3
10825,CCDC27
10826,RTN4
10827,TPRG1
10828,ATP6V0E1
10829,RBM11
10830,LSS
10831,KRR1
10832,KCTD10
10833,TBC1D22A
10834,ZNF644
10835,FCHO2
10836,PCMTD2
10837,EPM2A
10838,ZNF311
10839,CDPF1
10840,HLA-DRB1
10841,TWISTNB
10842,MCM3AP
10843,IGHV7-81
10844,APEX1
10845,HJURP
10846,STRA8
10847,CELSR2
10848,ZNF280C
10849,ZPLD1
10850,MLXIP
10851,IGBP1
10852,CASC4
10853,CSNK1E
10854,ST3GAL1
10855,NPHP3-ACAD11
10856,STK40
10857,AC126283.2
10858,PRDM9
10859,PIK3R4
10860,SH3BGR
10861,PPP2R5B
10862,FHDC1
10863,WDR55
10864,SELENOP
10865,ANKRD24
10866,AC068946.2
10867,PLA2G2D
10868,VIRMA
10869,LDHAL6B
10870,LIN7C
10871,ZNF714
10872,GLYAT
10873,PGRMC2
10874,FAM151A
10875,CACNA1B
10876,ALKAL1
10877,CCDC196
10878,TBCEL
10879,BARX1
10880,FBXO42
10881,ZNF521
10882,EPOP
10883,RPS27
10884,GPR183
10885,RPS6
10886,GFM1
10887,CADM2
10888,CRTAC1
10889,MUC3A
10890,NABP2
10891,PIK3AP1
10892,KIAA0319L
10893,ZFP36
10894,CORO1C
10895,TC2N
10896,RPUSD1
10897,VPS8
10898,MPP5
10899,SUFU
10900,DDHD1
10901,HOXA7
10902,SNRNP200
10903,MTX3
10904,NKRF
10905,DUSP2
10906,MOB3B
10907,SCGB1D4
10908,METTL11B
10909,IGHV1-2
10910,MKNK2
10911,AVPR1A
10912,YIPF2
10913,BDNF
10914,PLA2G2C
10915,CLLU1OS
10916,RPL15
10917,IGSF21
10918,ZNF837
10919,PPP3CC
10920,BABAM1
10921,PLCXD2
10922,ITM2C
10923,FAM199X
10924,KNSTRN
10925,COL11A2
10926,ARMC1
10927,SERPINE3
10928,BLVRB
10929,GYPB
10930,SLC8B1
10931,RARB
10932,AL121753.1
10933,CAMK2D
10934,RAB30
10935,CATSPER2
10936,BRAF
10937,THRA
10938,OR2AJ1
10939,PPIH
10940,ARL6IP6
10941,ENO4
10942,TMX2-CTNND1
10943,CHCHD7
10944,ZBTB47
10945,HMGN5
10946,POP1
10947,ECE2
10948,GPX3
10949,ADGRA3
10950,TAF1B
10951,ZNF708
10952,FCRLB
10953,CCDC188
10954,SRSF3
10955,DUS4L
10956,SIM2
10957,DMXL1
10958,PRCD
10959,HIF1AN
10960,CFDP1
10961,CAMK2A
10962,GTSF1L
10963,RASGEF1C
10964,CAV2
10965,FAHD2A
10966,ZNF12
10967,CFAP97
10968,SCGB1C1
10969,ACSF2
10970,GSK3A
10971,METTL25
10972,FTCD
10973,NR1H2
10974,MARCH9
10975,CLTCL1
10976,CHORDC1
10977,CYB5A
10978,HTR3D
10979,TM6SF1
10980,DEPDC1
10981,ZNF630
10982,SCRN2
10983,CNTRL
10984,CENPU
10985,ID2
10986,RPL10A
10987,MS4A7
10988,C9orf66
10989,AGMO
10990,COIL
10991,TTC38
10992,PSMD1
10993,PEG10
10994,LMCD1
10995,CFTR
10996,WDFY1
10997,MTF2
10998,CACNA1C
10999,FAM230A
11000,RBM22
11001,ZNF565
11002,ZMYND11
11003,FBXW4
11004,LYVE1
11005,MEF2A
11006,PRRG2
11007,CTAGE15
11008,MVK
11009,SORCS3
11010,LYRM9
11011,MUS81
11012,CCDC154
11013,NR2F2
11014,ZDHHC17
11015,MSANTD1
11016,TBC1D9
11017,SV2B
11018,PIWIL3
11019,ZNF805
11020,MYCN
11021,AC006064.6
11022,NUP35
11023,ZNF737
11024,TMEM97
11025,NPNT
11026,TANC2
11027,COPG2
11028,AC005258.1
11029,UNC93A
11030,MAD2L2
11031,PPP1R21
11032,NDUFA4L2
11033,BUD13
11034,PNOC
11035,IDNK
11036,OLFM3
11037,SUV39H1
11038,MEIS1
11039,NCAPH2
11040,FAM71C
11041,RIPOR1
11042,C17orf80
11043,KIAA1024
11044,SLC22A24
11045,ST8SIA3
11046,KDELR1
11047,DSCAML1
11048,TMPRSS4
11049,AC239799.1
11050,GGA2
11051,UBAP1
11052,GPR143
11053,KRT86
11054,GATAD2A
11055,TMEM52
11056,POMP
11057,SLC38A3
11058,EEA1
11059,PTPN22
11060,AC002310.5
11061,USP53
11062,EVI2B
11063,NUDT5
11064,ZNF684
11065,EDA
11066,SLC15A4
11067,KRT4
11068,LATS2
11069,KIAA0895L
11070,MYO15B
11071,DNASE1L2
11072,WSCD1
11073,SETD3
11074,GOLGA1
11075,TMEM249
11076,MTBP
11077,PPP5D1
11078,NME4
11079,ARAP2
11080,KANK2
11081,NLRP5
11082,MAP2K1
11083,ZCWPW1
11084,HIST1H2BK
11085,AC090004.1
11086,PDE1C
11087,HRASLS2
11088,SPSB1
11089,PTTG1IP
11090,HAPLN3
11091,SETDB1
11092,CBARP
11093,GABPB1
11094,PSENEN
11095,URB2
11096,PYM1
11097,CCDC85C
11098,GADD45A
11099,IGLC7
11100,SRSF12
11101,HP1BP3
11102,GIMD1
11103,CCDC62
11104,CPE
11105,HPS5
11106,AHNAK
11107,ACBD4
11108,PTPN1
11109,KANK4
11110,GRPEL1
11111,AGL
11112,BTN3A2
11113,RUNX2
11114,CLPTM1
11115,AL662820.1
11116,OR7A17
11117,DAAM2
11118,FAM13B
11119,KY
11120,NXF5
11121,LIMS2
11122,MRPL1
11123,SULT4A1
11124,LMBR1
11125,C1orf109
11126,PPBP
11127,GPR84
11128,FZD6
11129,TMEM246
11130,AOX1
11131,FBXO33
11132,SLC29A1
11133,PDCD1LG2
11134,MEOX1
11135,SPA17
11136,TDG
11137,HIST1H2BG
11138,C1orf198
11139,APC
11140,AC245748.1
11141,SDHD
11142,MISP
11143,RUNX3
11144,MEDAG
11145,ZNF462
11146,FHOD3
11147,UBD
11148,ZNF675
11149,DUS3L
11150,SHF
11151,HSD17B2
11152,RAB40AL
11153,TTYH1
11154,NOL3
11155,EXT2
11156,ZC3H8
11157,MGAT4A
11158,ASIC2
11159,ST3GAL5
11160,HRH1
11161,SLC22A17
11162,EVA1C
11163,ACAT1
11164,KRT2
11165,PDCD7
11166,ZNF471
11167,RSPH9
11168,SAE1
11169,HTRA2
11170,SLC3A2
11171,TIMMDC1
11172,CLDN19
11173,ATP5MG
11174,CHRNB3
11175,SGPL1
11176,ZNF16
11177,IFT43
11178,TNFSF8
11179,CXorf56
11180,GATA4
11181,RTF2
11182,CCT5
11183,GIMAP5
11184,ADGRG6
11185,WDR45B
11186,REG3A
11187,NAF1
11188,CDR2L
11189,KBTBD11
11190,THUMPD2
11191,TIGD1
11192,GLCCI1
11193,KCNA2
11194,DDR2
11195,DMWD
11196,TESC
11197,CARS2
11198,C1QTNF9
11199,MTPN
11200,PDE7B
11201,ZNF608
11202,MTMR9
11203,ARHGAP6
11204,DOCK1
11205,HIST1H2BJ
11206,ANGPTL1
11207,LRRC74B
11208,DSP
11209,KIF1A
11210,DNAH5
11211,MRPS11
11212,B3GAT2
11213,USP9X
11214,SNRNP27
11215,TPSAB1
11216,RTF1
11217,GMNC
11218,LY6G5C
11219,NTPCR
11220,B3GAT1
11221,NR1I3
11222,PAOX
11223,ZMAT2
11224,AKIRIN1
11225,ZNF516
11226,STT3A
11227,ZDHHC9
11228,PUM1
11229,CCND3
11230,KCNC4
11231,PRIMPOL
11232,RLN2
11233,PTK7
11234,TMEM165
11235,RBM43
11236,TMED10
11237,TAF5
11238,HIST1H2AL
11239,PRDM1
11240,GAP43
11241,LRP10
11242,EVPLL
11243,PLEKHA8
11244,ULK2
11245,SMKR1
11246,PTPRF
11247,LY6G6C
11248,MFSD2B
11249,PRSS42
11250,CBX3
11251,SYDE2
11252,YDJC
11253,ZNF317
11254,JAGN1
11255,DFFA
11256,EIF2B2
11257,CRYZL1
11258,PICALM
11259,PIK3R2
11260,PSG5
11261,ETV7
11262,ZNF253
11263,ARF4
11264,SNTA1
11265,EVL
11266,TP53INP1
11267,LRRN4
11268,FCER1G
11269,ZFYVE19
11270,PSG6
11271,ZNF839
11272,GOLGA8T
11273,FGF23
11274,NRSN2
11275,KDELR3
11276,KLHL10
11277,FOXO3
11278,PRMT6
11279,SERPINA7
11280,PPAT
11281,DNAJC19
11282,HSD17B10
11283,RGS8
11284,VWA2
11285,RAD23B
11286,ADCY3
11287,CTXN3
11288,PATJ
11289,MAML1
11290,JUNB
11291,ZBTB44
11292,ZACN
11293,KCNMB3
11294,ZNF497
11295,NXPE1
11296,NCKAP1
11297,ARF3
11298,DPPA3
11299,ZFYVE21
11300,TAS1R1
11301,HIRA
11302,AP001273.2
11303,CHRM3
11304,CRLF1
11305,MOCS3
11306,RAC3
11307,LAMP1
11308,ADCK5
11309,PAF1
11310,PLCL1
11311,FIP1L1
11312,C6orf163
11313,ZNF438
11314,PNPLA5
11315,PI4KB
11316,RSPO1
11317,ATP2C1
11318,MVB12B
11319,CA12
11320,UBE2S
11321,ZNF160
11322,PRDM12
11323,EVA1A
11324,CCL19
11325,BEX5
11326,IL1RN
11327,RTKN2
11328,OSBPL3
11329,EML3
11330,EFHD2
11331,ADAL
11332,KDM5D
11333,KLK11
11334,PEX11G
11335,AC026954.2
11336,GSX2
11337,H2AFY
11338,ANO5
11339,HOOK2
11340,ZNF845
11341,PFKL
11342,SUSD2
11343,STAT4
11344,CEP170B
11345,PLA2G5
11346,SELPLG
11347,LIG3
11348,MAPK14
11349,PHLPP1
11350,SLC46A1
11351,KIAA0825
11352,SSSCA1
11353,EBF2
11354,CHEK2
11355,JRK
11356,PCDHB3
11357,LACTB2
11358,XPO6
11359,EOMES
11360,FADD
11361,DSEL
11362,METTL7A
11363,NDUFS5
11364,ZNF221
11365,TEX36
11366,SCIMP
11367,POFUT1
11368,TNNC1
11369,CAMKK1
11370,C19orf84
11371,MCHR1
11372,COA4
11373,URM1
11374,XPNPEP2
11375,IFI30
11376,CDC42SE1
11377,HIST1H2BO
11378,TXN2
11379,PHLDA1
11380,FRZB
11381,ZNF394
11382,TENM3
11383,WWP1
11384,TBC1D24
11385,ARHGEF25
11386,ATG4A
11387,USP35
11388,CTGF
11389,WASHC3
11390,AC091057.6
11391,WNT10B
11392,VSIG10
11393,GALE
11394,TBC1D22B
11395,SPRN
11396,SERTM1
11397,WDR61
11398,SH3BP1
11399,AC092329.3
11400,PRR9
11401,RABEP1
11402,TST
11403,KNDC1
11404,KCTD16
11405,HMGB3
11406,PCDHA1
11407,RASSF3
11408,ID4
11409,VKORC1
11410,GRK2
11411,APOBEC3A
11412,ANO9
11413,KIAA1468
11414,UBE2A
11415,ID3
11416,HIST1H2AM
11417,TBXAS1
11418,ANXA4
11419,CDK13
11420,EREG
11421,DNAJC15
11422,SMAD5
11423,PDE4B
11424,HSPA14
11425,KCTD4
11426,BTN2A1
11427,NPIPB2
11428,STMND1
11429,MARCH7
11430,TFF2
11431,TRAC
11432,MYL9
11433,SCRIB
11434,TFCP2L1
11435,UQCC3
11436,PCYOX1L
11437,RBFA
11438,RFTN2
11439,PIEZO1
11440,RECQL5
11441,MTCH2
11442,BLOC1S4
11443,ISCA2
11444,MEGF10
11445,TMEM9B
11446,IGLV5-37
11447,LRRC46
11448,ZNF785
11449,LYRM7
11450,B3GALT2
11451,SHTN1
11452,C2orf74
11453,C1orf127
11454,ABCA7
11455,POU4F1
11456,ANGPTL7
11457,LRP4
11458,RAB11FIP3
11459,CACNA1G
11460,ZNF300
11461,PHC3
11462,SNAP25
11463,ZRANB3
11464,KISS1R
11465,C4orf33
11466,PUM3
11467,TBC1D2B
11468,LRP12
11469,ZNF79
11470,ROBO2
11471,SPNS2
11472,SLC9A9
11473,PRR23A
11474,VEGFB
11475,MAP3K6
11476,WNT5A
11477,SLITRK1
11478,CIAO1
11479,XPNPEP3
11480,RAB11B
11481,HSP90B1
11482,CRYAB
11483,GSTA3
11484,SMIM33
11485,MED31
11486,FAM129A
11487,DBT
11488,CYP4F3
11489,KRAS
11490,RPA3
11491,MRS2
11492,SLC29A2
11493,RPS15A
11494,MRPL16
11495,HOMER1
11496,MYO5B
11497,CRIP2
11498,TOP3B
11499,C6orf223
11500,TLX2
11501,F11R
11502,GUCA1A
11503,IL2RB
11504,ANG
11505,HBA1
11506,GUCY1A2
11507,PRMT9
11508,RAB23
11509,RPL10L
11510,MTFMT
11511,DPEP3
11512,PRPS1
11513,PRSS38
11514,JAM2
11515,VPS36
11516,AC018523.2
11517,RBM12
11518,IL1RAP
11519,RIF1
11520,C9orf64
11521,RBM4
11522,LRRC55
11523,RHCE
11524,ZCCHC8
11525,IGKV1D-16
11526,USPL1
11527,FAM81B
11528,TRMT9B
11529,PHKG2
11530,MTX2
11531,ZNF558
11532,TJAP1
11533,HPSE
11534,CWC25
11535,HIST1H1A
11536,NWD1
11537,PRKG2
11538,GNB5
11539,SLC18A2
11540,FABP1
11541,RBBP4
11542,MARVELD2
11543,SMG5
11544,SLC51B
11545,GDF5
11546,CCP110
11547,VWF
11548,CACTIN
11549,TEPSIN
11550,ROR1
11551,TNRC6C
11552,NAP1L2
11553,C19orf71
11554,MED24
11555,CFAP44
11556,KCTD6
11557,CRYBA4
11558,RYK
11559,SRP68
11560,RASSF4
11561,SLITRK4
11562,RFFL
11563,BRCA2
11564,DACT3
11565,PSEN2
11566,SMIM13
11567,AVPR1B
11568,GML
11569,ZMAT3
11570,RBMS2
11571,JAKMIP3
11572,NR1I2
11573,S100A10
11574,ADRB2
11575,RAB34
11576,VAV1
11577,PRPF18
11578,SSBP3
11579,HMGCR
11580,VPS52
11581,DDX42
11582,NFKBIA
11583,EFCC1
11584,IGSF11
11585,WDR19
11586,S1PR1
11587,DWORF
11588,TLCD2
11589,NTRK3
11590,YY1
11591,SLC4A7
11592,SNX11
11593,ASXL3
11594,NFATC2IP
11595,SIAH2
11596,DBF4
11597,SLC26A8
11598,ENTPD4
11599,VDAC3
11600,YPEL4
11601,TARDBP
11602,AL162417.1
11603,HIST1H1C
11604,SLC26A6
11605,RBM23
11606,ZNF736
11607,ABO
11608,RDH14
11609,RNF128
11610,SLC7A6
11611,FAM186B
11612,IL3RA
11613,ASTN1
11614,OR2AK2
11615,TTC39A
11616,ATXN1
11617,WDR20
11618,ZFR
11619,KRIT1
11620,GRHPR
11621,CBLN4
11622,CLSTN3
11623,LIN28B
11624,NCAPD3
11625,SGSM1
11626,SPINT4
11627,TSPAN13
11628,MYEF2
11629,ZNF577
11630,TMEM140
11631,MRPS18C
11632,AATK
11633,ATF7IP2
11634,TRPC3
11635,SPRR1B
11636,NOL4L
11637,SLC2A14
11638,ZNF880
11639,NOP16
11640,SNX3
11641,RNF8
11642,ZNF329
11643,RANBP17
11644,DUSP5
11645,GTPBP3
11646,ELK4
11647,FHAD1
11648,CATSPERZ
11649,CEP41
11650,PHB2
11651,ARSF
11652,ASB14
11653,ST6GAL2
11654,TRIM47
11655,ZNF398
11656,GRWD1
11657,IFNL1
11658,ZFP90
11659,EOGT
11660,C1QL1
11661,USP27X
11662,ZNF45
11663,DLX6
11664,MAGEB1
11665,RTN4RL2
11666,MYLK4
11667,PLEK
11668,PTH1R
11669,TRAFD1
11670,MIOX
11671,ASB12
11672,EMC6
11673,NDRG3
11674,CNBD1
11675,QSOX2
11676,DLGAP5
11677,RTL1
11678,PIGP
11679,TMEM107
11680,MRPL12
11681,ERGIC2
11682,MBLAC1
11683,KLHL6
11684,SYPL2
11685,CDH9
11686,TDRD9
11687,CMTM8
11688,AADAT
11689,ADRA1A
11690,PCGF5
11691,MAPT
11692,NOP58
11693,ZNF846
11694,PIF1
11695,PGAP1
11696,RGPD1
11697,IL22RA1
11698,STAC3
11699,CTSC
11700,C2CD4C
11701,PLCE1
11702,SRD5A2
11703,PIK3R5
11704,COX15
11705,NKX2-2
11706,PCYOX1
11707,ETHE1
11708,NEDD8-MDP1
11709,PRAM1
11710,TTR
11711,WFDC11
11712,FGF20
11713,DEF8
11714,LRMP
11715,MTX1
11716,MUC20
11717,ATG13
11718,VAMP3
11719,OPA3
11720,C9orf116
11721,MRPS22
11722,RMDN1
11723,CLDN2
11724,UBE3A
11725,AC090517.4
11726,EGLN2
11727,UROD
11728,ANXA2R
11729,ZNF638
11730,TMA7
11731,CDRT1
11732,ATF5
11733,CD40LG
11734,RPS6KA1
11735,ACVR2B
11736,ANTXR1
11737,ATP5MC3
11738,CLCN3
11739,PPP2R2D
11740,GNA15
11741,LRRC8A
11742,METTL23
11743,GSDMA
11744,KIAA1191
11745,BRWD3
11746,PPP3CB
11747,PMPCA
11748,PNPT1
11749,UTP11
11750,MRM3
11751,C1orf216
11752,GUF1
11753,AC026786.1
11754,PHACTR2
11755,CLCN4
11756,DEF6
11757,ZNF587
11758,AMELX
11759,ZFPM1
11760,HIST1H2BF
11761,RLIM
11762,ERMP1
11763,UBXN8
11764,RNF13
11765,AP5B1
11766,SLC7A5
11767,B3GNT9
11768,EHBP1L1
11769,KRTAP5-1
11770,PHEX
11771,ERCC3
11772,CD160
11773,PPP2R5E
11774,FRA10AC1
11775,HPDL
11776,MOCS2
11777,ARHGEF39
11778,TKTL2
11779,SEPHS1
11780,HEMK1
11781,NHSL2
11782,PLGLB2
11783,DRD1
